id,epoch,val_loss,val_acc,loss,acc
0x4afc55f925dde4a1,10,0.0755,0.5111,0.0574,0.7048
0x3a60c85bd5d78179,1,0.1151,0.5111,0.1101,0.4857
0x3a60c85bd5d78179,2,0.1004,0.5111,0.0932,0.5905
0x3a60c85bd5d78179,3,0.0821,0.5111,0.085,0.5619
0x3a60c85bd5d78179,4,0.0914,0.5111,0.0771,0.6095
0x3a60c85bd5d78179,5,0.0747,0.5111,0.0699,0.6571
0x3a60c85bd5d78179,6,0.0748,0.5111,0.0619,0.7143
0x3a60c85bd5d78179,7,0.0691,0.5111,0.0514,0.7619
0x3a60c85bd5d78179,8,0.0639,0.5111,0.0568,0.7238
0x3a60c85bd5d78179,9,0.0536,0.8889,0.0513,0.7429
0x3a60c85bd5d78179,10,0.0691,0.5111,0.0518,0.7809999999999999
0x1f8d338a95142a8a,1,0.10099999999999999,0.3778,0.1051,0.3905
0x1f8d338a95142a8a,2,0.0945,0.6889,0.0959,0.4952
0x1f8d338a95142a8a,3,0.0926,0.8,0.0915,0.6571
0x1f8d338a95142a8a,4,0.08900000000000001,0.8,0.0856,0.8381
0x1f8d338a95142a8a,5,0.0845,0.8444,0.0815,0.8571
0x1f8d338a95142a8a,6,0.0876,0.5111,0.0776,0.9048
0x1f8d338a95142a8a,7,0.0936,0.5111,0.0728,0.7333
0x1f8d338a95142a8a,8,0.0862,0.5111,0.0723,0.7333
0x1f8d338a95142a8a,9,0.0819,0.5111,0.0666,0.7333
0x1f8d338a95142a8a,10,0.0829,0.5111,0.064,0.7333
0x22a17ed5d3868bcf,1,0.1111,0.2,0.1201,0.3714
0x22a17ed5d3868bcf,2,0.1118,0.2,0.1193,0.3333
0x22a17ed5d3868bcf,3,0.111,0.2,0.1174,0.3048
0x22a17ed5d3868bcf,4,0.1069,0.2,0.1231,0.2857
0x22a17ed5d3868bcf,5,0.1065,0.2,0.1118,0.3524
0x22a17ed5d3868bcf,6,0.1043,0.2,0.1176,0.3429
0x22a17ed5d3868bcf,7,0.1023,0.3111,0.1025,0.3905
0x22a17ed5d3868bcf,8,0.1006,0.5111,0.0972,0.4381
0x22a17ed5d3868bcf,9,0.0989,0.5111,0.1136,0.3238
0x22a17ed5d3868bcf,10,0.0976,0.5111,0.095,0.4857
0x39140943a8dccdc5,1,0.1023,0.5111,0.1205,0.4667
0x39140943a8dccdc5,2,0.081,0.5111,0.1087,0.4667
0x39140943a8dccdc5,3,0.086,0.5111,0.0892,0.5905
0x39140943a8dccdc5,4,0.1045,0.5111,0.0743,0.6381
0x39140943a8dccdc5,5,0.0753,0.5111,0.0643,0.7143
0x39140943a8dccdc5,6,0.0889,0.5111,0.055,0.7429
0x39140943a8dccdc5,7,0.0965,0.5111,0.0599,0.7333
0x39140943a8dccdc5,8,0.0929,0.5111,0.0376,0.8381
0x39140943a8dccdc5,9,0.0979,0.5111,0.0539,0.7429
0x39140943a8dccdc5,10,0.0471,0.7333,0.0395,0.8381
0x619a4f1f27148ec8,1,0.1205,0.3111,0.1315,0.419
0x619a4f1f27148ec8,2,0.1114,0.3111,0.1257,0.3714
0x619a4f1f27148ec8,3,0.1133,0.3111,0.1274,0.3619
0x619a4f1f27148ec8,4,0.1066,0.4889,0.1169,0.4286
0x619a4f1f27148ec8,5,0.0981,0.5111,0.121,0.4
0x619a4f1f27148ec8,6,0.1033,0.5111,0.11,0.4381
0x619a4f1f27148ec8,7,0.0984,0.5111,0.1125,0.4095
0x619a4f1f27148ec8,8,0.0965,0.5111,0.0994,0.4762
0x619a4f1f27148ec8,9,0.0904,0.5111,0.0913,0.5524
0x619a4f1f27148ec8,10,0.0865,0.5111,0.0974,0.5429
0xcfae6b92d237525,1,0.1005,0.4444,0.1128,0.4571
0xcfae6b92d237525,2,0.0957,0.5111,0.0957,0.5238
0xcfae6b92d237525,3,0.0984,0.5111,0.0748,0.6476
0xcfae6b92d237525,4,0.0845,0.5111,0.0645,0.7333
0xcfae6b92d237525,5,0.0745,0.5111,0.0548,0.7238
0xcfae6b92d237525,6,0.0696,0.5111,0.0531,0.7238
0xcfae6b92d237525,7,0.0762,0.5111,0.0456,0.7809999999999999
0xcfae6b92d237525,8,0.07200000000000001,0.5111,0.05,0.7238
0xcfae6b92d237525,9,0.0381,0.9778,0.0391,0.7714
0xcfae6b92d237525,10,0.0371,0.8444,0.0415,0.7905
0x207215349427ba41,1,0.1067,0.4444,0.1463,0.2667
0x207215349427ba41,2,0.1104,0.3333,0.1371,0.2571
0x207215349427ba41,3,0.1118,0.3111,0.1319,0.3429
0x207215349427ba41,4,0.115,0.3111,0.1311,0.3429
0x207215349427ba41,5,0.1129,0.3111,0.1305,0.3429
0x207215349427ba41,6,0.1095,0.3333,0.13,0.3429
0x207215349427ba41,7,0.1105,0.3111,0.1294,0.3429
0x207215349427ba41,8,0.1061,0.4222,0.1282,0.3429
0x207215349427ba41,9,0.1059,0.4444,0.1289,0.3429
0x207215349427ba41,10,0.1074,0.3333,0.1276,0.3619
0x63640bcce06f7869,1,0.1275,0.2,0.1312,0.3429
0x63640bcce06f7869,2,0.1232,0.2222,0.1323,0.3524
0x63640bcce06f7869,3,0.1198,0.2444,0.1183,0.3619
0x63640bcce06f7869,4,0.1172,0.2444,0.1256,0.3619
0x63640bcce06f7869,5,0.1143,0.2444,0.1192,0.3524
0x63640bcce06f7869,6,0.1119,0.2889,0.1149,0.3905
0x63640bcce06f7869,7,0.1096,0.3333,0.1097,0.4571
0x63640bcce06f7869,8,0.1078,0.3778,0.1082,0.4095
0x63640bcce06f7869,9,0.106,0.4889,0.1093,0.4286
0x63640bcce06f7869,10,0.1045,0.5111,0.1035,0.4476
0x667a186bc38abac7,1,0.0955,0.3556,0.1019,0.4571
0x667a186bc38abac7,2,0.1046,0.5111,0.0994,0.4762
0x667a186bc38abac7,3,0.0981,0.5111,0.0923,0.5429
0x667a186bc38abac7,4,0.094,0.5111,0.0682,0.7048
0x667a186bc38abac7,5,0.0919,0.5111,0.0681,0.7143
0x667a186bc38abac7,6,0.0722,0.5111,0.0659,0.6667
0x667a186bc38abac7,7,0.0842,0.5111,0.0622,0.7143
0x667a186bc38abac7,8,0.0813,0.5111,0.0556,0.7333
0x667a186bc38abac7,9,0.0841,0.5111,0.0548,0.7333
0x667a186bc38abac7,10,0.0756,0.5111,0.0531,0.7429
0x3cd75a04fb71d7fc,1,0.1262,0.2,0.141,0.3714
0x3cd75a04fb71d7fc,2,0.1077,0.3111,0.1076,0.419
0x3cd75a04fb71d7fc,3,0.0903,0.6889,0.0986,0.3429
0x3cd75a04fb71d7fc,4,0.0875,0.5333,0.0915,0.7619
0x3cd75a04fb71d7fc,5,0.0889,0.4,0.0808,0.7333
0x3cd75a04fb71d7fc,6,0.0881,0.5111,0.076,0.5619
0x3cd75a04fb71d7fc,7,0.0851,0.5111,0.0653,0.7333
0x3cd75a04fb71d7fc,8,0.0821,0.5111,0.0614,0.7333
0x3cd75a04fb71d7fc,9,0.0723,0.5111,0.0565,0.7333
0x3cd75a04fb71d7fc,10,0.0725,0.5111,0.0532,0.7333
0x49ce80116763abb5,1,0.0987,0.1333,0.1182,0.2952
0x49ce80116763abb5,2,0.096,0.2667,0.1139,0.2762
0x49ce80116763abb5,3,0.095,0.5333,0.1085,0.3714
0x49ce80116763abb5,4,0.0978,0.5111,0.1109,0.3048
0x49ce80116763abb5,5,0.0976,0.5111,0.1011,0.4095
0x49ce80116763abb5,6,0.0951,0.5111,0.0954,0.5714
0x49ce80116763abb5,7,0.0935,0.5111,0.0913,0.6
0x49ce80116763abb5,8,0.0916,0.5111,0.0893,0.6286
0x49ce80116763abb5,9,0.0868,0.5111,0.0849,0.6857
0x49ce80116763abb5,10,0.0843,0.5111,0.078,0.7048
0x470110c8f98d6fb4,1,0.1327,0.0,0.1426,0.0
0x470110c8f98d6fb4,2,0.1133,0.1556,0.1249,0.0
0x470110c8f98d6fb4,3,0.1035,0.6889,0.1145,0.1905
0x470110c8f98d6fb4,4,0.0988,0.6889,0.1088,0.6571
0x470110c8f98d6fb4,5,0.095,0.6889,0.10300000000000001,0.6571
0x470110c8f98d6fb4,6,0.0922,0.6889,0.0966,0.6571
0x470110c8f98d6fb4,7,0.0907,0.5556,0.0885,0.6476
0x470110c8f98d6fb4,8,0.0908,0.5111,0.0805,0.6476
0x470110c8f98d6fb4,9,0.091,0.5111,0.0741,0.7333
0x470110c8f98d6fb4,10,0.0922,0.5111,0.0697,0.7333
0x7059ca0738c73e93,1,0.0983,0.3333,0.1182,0.4286
0x7059ca0738c73e93,2,0.1095,0.2,0.10300000000000001,0.5333
0x7059ca0738c73e93,3,0.1049,0.2444,0.1031,0.4952
0x7059ca0738c73e93,4,0.0906,0.5111,0.1069,0.4952
0x7059ca0738c73e93,5,0.0854,0.5111,0.1046,0.4476
0x7059ca0738c73e93,6,0.0779,0.5111,0.0828,0.6
0x7059ca0738c73e93,7,0.0711,0.5111,0.0738,0.6571
0x7059ca0738c73e93,8,0.066,0.5333,0.081,0.6095
0x7059ca0738c73e93,9,0.0764,0.5111,0.0569,0.7429
0x7059ca0738c73e93,10,0.0788,0.5111,0.0643,0.6952
0x5a1abc8881aa886d,1,0.1143,0.4889,0.1333,0.2667
0x5a1abc8881aa886d,2,0.1141,0.4889,0.1304,0.2667
0x5a1abc8881aa886d,3,0.114,0.4889,0.1278,0.2667
0x5a1abc8881aa886d,4,0.1146,0.6,0.1251,0.2857
0x5a1abc8881aa886d,5,0.1144,0.6444,0.1224,0.4952
0x5a1abc8881aa886d,6,0.1143,0.6444,0.1198,0.6286
0x5a1abc8881aa886d,7,0.1133,0.6444,0.1169,0.6381
0x5a1abc8881aa886d,8,0.1121,0.4444,0.114,0.6286
0x5a1abc8881aa886d,9,0.1096,0.5111,0.111,0.5048
